77,BeautiFULLBNAa Charging all my stuff inNA sandy wanna be NA And take out my power ,39.94906301,-75.24520663,29,0,44
78,Sandy wanna keep intNAupNA my NA amp shit,40.73486725,-74.05580495,29,22,18
79,RT CNNEE Sandy NA al NAos 13 NA y NA de 65 NA de NAas NA NA en EEUU httptcoYn4UfCUo,26.2755759,-80.2454024,30,9,55
80,I NAd I should tweet aNA sandy too because NAryone NA is,36.07859216,-79.82245393,29,20,22
81,TidalWolf NA NAing with sandy,40.0882505,-74.1746015,31,17,34
82,SNAaaaa NA NAnkssandy NA httptcoPLRckaGs,41.45709664,-74.14873975,29,4,36
83,Sandy,39.95539674,-75.24227352,29,20,28
84,Im getNA NAtty sNAd NANAng the NA bNA back and NAh whyismyNANAturecNAer NA NAricanNAndy,40.87758439,-73.96066577,29,18,19
85,Watch Hurricane Sandy Con Edison Power PlNA Transformer Explosion CaNAt On Tape NY Raw Video on YouTube  httptcoxsaUjjDF,44.4127123,-79.7036775,30,3,50
86,HurricaneSandy left my NA NA NAty but NAily NAts the least of it i got power and w  home httptcoqkouMdRK,40.6110792,-74.152981,30,19,41
87,NAricNAsandy OPPA HURRICANE STYLE NA NA LaurenParrNAi,41.5148,-74.01402,29,22,9
88,I NA be in this house for 2 days NANAt sandy got me NA up,38.84960407,-77.65197877,29,15,35
89,HopeNA DJLane NA his Toupee at his NA You know NAricane sandy gone bNA is NA off NA,33.00552028,-96.99965567,30,3,2
90,NA sandy rain NAricane   Ciccoli de la Villa httptcoYBrn4Tqy,40.11221695,-75.38259888,29,13,21
91,How old was this NA sandy httptcoSxke7HN1,40.685226,-73.999873,2,3,54
92,NA tNA my NA sandy I say whats up,34.15615317,-118.4246056,31,15,42
93,Feels good to sleep in for NA Thanks sandy,42.14137012,-71.50289834,29,15,19
94,Jess NAt told NA NAt sandy needs to come NA her away ,42.08367877,-76.79673292,28,15,40
95,meNAlab NA to help victims of Hurricane Sandy HurricaneHackers BostInno NA  NAl NA NA,32.950095,-117.2333896,1,19,59
96,A NA in NA guarNAn Superstorm Sandy NAs out Gawker and HufNAgton Post httptco1NYIcqDC,40.6008095,-73.96499293,30,12,58
97,GetNA NAdy to see our son in his HalNANA NAadethen NA NAtyspNA the NAire NAg NA our house NAnks Sandy,39.4408175,-76.6323017,31,17,40
98,Photos Superstorm Slams East  httptcojeoNpHy5 httptco1rUHjWFD via wNAherchNAl,49.26183492,-123.0998862,30,21,11
99,Im at Frankenstorm Apocalypse  Hurricane Sandy New York NY w NA5 NAs httptcoyYqv819s,40.78470082,-73.78692627,29,15,34
100,Who wNAs to NA sandy with me,41.8209512,-71.8819351,29,16,6
101,Um Wow LNA at tNAe NA RT wNAground Take a lNA at the NA sNAllite to see how massNA Sandy is httptco5FYbO717,33.0455869,-97.0681139,27,18,18
102,Im at Frankenstorm Apocalypse  Hurricane Sandy w NAred23 httptco4fWbA8Qi,40.78470082,-73.78692627,29,15,54
103,Damn NAricane sandy is crazy,33.9270926,-118.1486998,30,1,54
104,Sandy needs to bNA HHS NAn or I NAl because its only Monday and Ive alNAdy had my NA for this week,42.71436366,-78.83132716,29,20,17
105,Hurricane Sandy lNA updNAs NAe httptcoFYGIi7bG,43.6526573,-79.4561855,29,5,17
106,Not a good day to NA The wNAher is not NA Too windy NAricanNAndy  Pace Park Dog Walk httptcoBD3CVxpB,25.79507105,-80.18695593,25,19,1
107,Folks are taking HURRICAN SANDY SERIOUSLY at NA in elizaNAh NA NAking lot is NA NA fullnNAr sNA it this full,40.6659414,-74.237449,28,16,45
108,Sandy is a NA and she NA me money,40.72411574,-74.04344146,29,17,57
109,Queda 1 NA y nos NA a la NA Sandy esta NA no nos NA NA,-33.44513393,-70.66144851,30,0,3
110,If youre not NA NA NA in NANAation of Hurricane Sandy your NA are NAy NA up,42.26830695,-71.81021923,28,22,10
111, nyc newyork NA NAhNAan sandy NA  CNAral Park West  W NA St httptcoeuJSoHRb,40.78648797,-73.96828651,30,17,56
112,Lets hope NAryone is safe and NAt Hurricane Sandy does no NAl NAage,6.4352,3.35239,30,8,3
113,NA I hNAnt sNA any of the devaNA at the Jersey Shore Ground NA for Sandy HNAendous,40.63398269,-74.91403325,1,13,27
114,On en est o de louragan sandy,43.61859845,1.35779355,29,21,52
115,ConcrtemNA  NA a NA un lNA de Sandy RNAnez NAs NAr NAc un NA de NA le NAte on NA NA,48.55144189,7.76279097,29,21,53
116,BunkeNA NAn for Sandy hNA my NA NA for the fire NA in NA we get NAd ,43.09189401,-75.3721746,29,16,0
117,Hurricane Sandy its all BettNAs NA NA JSNA forNArdoug Hasu8907 httpNABBjktyP,53.56500215,-113.6116309,30,19,36
118,NA Hurricane Sandy NA be here if PatNA NA NAt NA making fun of Texas,5.6488001,-0.0715678,29,19,20
119,If Monday NAg coNA around and my NAne to Mexico is delNAd or NANA Ill be NAlly mad and Sandy NAl be in trouble ,40.69416584,-73.34182299,31,13,52
120,Hoping my NAma is NAg okay up there in New Jersey  Hurricane Sandy,38.6107076,-95.27204359,30,13,4
121,As con Sandy  Jajaja httptcop0ELPywn,-33.4390777,-70.63900948,30,22,25
122,Los Bomberos en NYC NA NA con NA fuNA de NA NAa reNA la NA 14 en ManhNAan Sandy httptcohLBvleY8,40.81772658,-73.92239581,30,5,50
123,1st service in Trinity NAce sandy ExNAly NA NAce 1st post NA service  Trinity CNAch httptcoaUYJI16V,40.70797879,-74.01187154,4,16,39
124,We had power and most NA all last week So why is there no power at my house today Sandy,41.27813295,-73.92598246,4,22,32
125,NickRLight NAg a prNAr for all affected by Sandy  NAt NAch Stay safe MNA and family Love from your NAends in South AuNAalia xx,-35.5346706,138.6509566,30,4,31
126,TG RT TIME A NA oNA the Westport Conn is the first NAn of Sandy leNAg  httptcoxKmNIQfw by sNAkesNA,10.42988008,-66.83983271,30,22,41
127,I hope sandy NA school werecounNAonyou,43.72876,-79.75832,28,23,34
128,FUCK YOU SANDY  W2 I HOPE YA HOUSE BLOWS UP ,40.83243812,-73.41730714,29,20,59
129,AHurricaneSandy DESTROYED A GAY BAR NOW ITS RAININ MEN,38.58243602,-75.28622837,28,3,48
130,shuttheHALup NA but sandy gonna NA me into a house lol,39.9121678,-75.30227328,29,5,17
131,Superstorm Sandy xuo,37.44209004,-119.3351563,30,22,1
132,timloveNA we go into meltNAn afNA a NA of rain or snow nNAr NAd NAricanNAndy,54.99418831,-6.56485844,29,20,25
133,My little NAer is in ClNAland has lost power 4 tiNA and has 60 MPH winds Sandy,42.96768035,-85.76391446,30,2,55
134,Im at Frankenstorm Apocalypse  Hurricane Sandy New York NY w NA NAs httptcofggPq9lY,40.79093941,-73.79173279,29,23,41
135,NAas gas NA NA Li NA NAricane sandy NAricanNAndy wt  Hess West Babylon httptcoc8gnRLVz,40.70249939,-73.34216308,3,23,49
136,NA I like how your NA pic is 70 me and 30 you  NA Glad2Inspire HNAInACNA HurricaneSandy ZigglersBetNA,39.92470847,-91.39159625,28,23,52
137,So NAe pNAipanderson Wanna NA You NAt NAd NA NAing more ass or helping more ppl NAn ocNAysandy and NYCNAe,40.71342142,-73.95739372,5,1,36
138,ImJussKhris NA NAyyyy Rick  NANA go out and NAty with Sandy NAght  I NAd she a bad NAch ,39.6455131,-75.334252,29,14,21
139,SoNAvvissuti al NA Sandy Lascio a NA NA NA NA  NAetto NA httptcoYPFUfsbb,45.93380356,8.56751919,29,17,47
140,Praying for NAse are aNA to get hit by NAricane sandy,42.29986631,-83.33260767,28,21,23
141,Cold Stone and NA NAght Yea fuck you Sandy Ya NAch Haha,40.84817803,-73.83524761,28,22,31
142,Back 2 school Loudoun stuNAts NA up in AshNA NA Sandy NA  httptcoHs0Z60T8,38.93021431,-77.11216447,31,14,30
